TERM,DEFINITION,PAGES
Safety Factor,Safety ration between the WLL and the MBS. Higher safety factor means more margin of safety.,C43
Sheave,The wheel inside a pulley or snatch block that the rope runs over.,"C43, C45, C47"
Shock Load,"A sudden force spike on the rig. It could be from slack, impact, or jerking.",F03
Shortening Leg,A rope section that moves and gets shorter during the pull.,F21
Side Flash,"Lightning jumping from a tree, vehicle, or object to a nearby person.",A15
Side Load,A sideways pull on gear that should only be pulled straight.,E09
Single Line,Only one shortening leg of the rope in the pull.,E05
Single Resource,One person or unit assigned to one specific task.,B03
Slope Resistance,See Terrain multipliers,E11
Snapback,When a tight rope or strap suddenly flies back after breaking or coming loose.,"D23, D25"
Snatch Block,A side-opening pulley used to redirect line or add mechanical advantage.,C43
Soft Shackle,A strong synthetic-rope loop used to connect recovery gear instead of a metal shackle.,C39
Solenoid,The winch’s main power switch. It sends battery power to the motor and controls forward or reverse.,"C09, X07"
Spanish Burton,A compound pulley setup that gives mechanical advantage. “Burton” is an old naval word for a small pulley system.,"F21, F25, F29"
Spotter,Person who watches the operator’s blind spots and guides vehicle movement.,B03
Static Anchor,A fixed object used as an anchor. It should not move.,B19
Static Leg,A rope section that does not get shorter during the pull.,F21
Static Rope,A winch line that stays the same length during the pull.,F03
Strand,"A main bundle inside a rope. In steel rope, it is made of wires. In synthetic rope, it is made of fibers or yarns.","C13, C21"
Suction,Extra holding force from mire.,"B11, B15"
Synthetic Rope,Winch line made from strong fiber.,"C13, C15, C17, C19, X03"
Terrain Multiplier,Number that accounts for harder pulling on soft ground.,B13
Thimble,Metal insert inside a rope loop that protects it from wear.,C33
Tow Ball,Ball used for towing a trailer; never use it for recovery pulling.,C61
Tow Point,Vehicle pulling spot made for towing; this is NOT a recovery point and should not be used for recovery.,C61
Tow Strap,"A low-stretch strap for slow, steady pulls; not a kinetic rope.","A05, C61"
Traction,Grip between the tires and the ground.,B09
Tree Saver,A wide strap wrapped around a tree to protect the bark and create an anchor.,C49
Upward Streamer,Electricity reaching upward from the ground toward lightning.,A15
Vehicle Anchor,A secured vehicle used as an anchor. It should not move., B21
Whiplash,See Snapback.,"D23, D25"
Winch Brake,Winch part that holds the load when the motor stops.,C09
Wire,A single metal thread used to build a steel-rope strand.,C21
Wire Rope,Winch line made from steel wires twisted into strands.,"C21, C23, C25"
WLL,"Working Load Limit; the maximum load gear is rated to carry in normal use. Above this, gear can be permanently damaged.",D05
